feature_name,amr_class,evidence_type,source
AAC-I,aminoglycoside,known_gene,BV-BRC/NDARO
"AAC-II,III,IV,VI,VIII,IX,X",aminoglycoside,known_gene,BV-BRC/NDARO
AAC-Ia,aminoglycoside,known_gene,BV-BRC/NDARO
AAC-Ib-cr,aminoglycoside/quinolone,known_gene,BV-BRC/NDARO
AAC-Ib/AAC-II,aminoglycoside,known_gene,BV-BRC/NDARO
ANT-I,aminoglycoside,known_gene,BV-BRC/NDARO
ANT-Ia,aminoglycoside,known_gene,BV-BRC/NDARO
APH,aminoglycoside,known_gene,BV-BRC/NDARO
APH-I,aminoglycoside,known_gene,BV-BRC/NDARO
APH-II/APH-XV,aminoglycoside,known_gene,BV-BRC/NDARO
APH-III/APH-IV/APH-VI/APH-VII,aminoglycoside,known_gene,BV-BRC/NDARO
APH-Ic/APH-Id,aminoglycoside,known_gene,BV-BRC/NDARO
BlaEC,beta-lactam,known_gene,BV-BRC/NDARO
CARB/PSE,beta-lactam,known_gene,BV-BRC/NDARO
CMY-1/MOX,beta-lactam,known_gene,BV-BRC/NDARO
CMY/CMY-2/CFE/LAT,beta-lactam,known_gene,BV-BRC/NDARO
CTX-M,beta-lactam,known_gene,BV-BRC/NDARO
CatA1/CatA4,phenicol,known_gene,BV-BRC/NDARO
CatA2,phenicol,known_gene,BV-BRC/NDARO
CatB,phenicol,known_gene,BV-BRC/NDARO
CmlA,phenicol,known_gene,BV-BRC/NDARO
DHA/MOR,beta-lactam,known_gene,BV-BRC/NDARO
EreA,macrolide,known_gene,BV-BRC/NDARO
EreB,macrolide,known_gene,BV-BRC/NDARO
Erm,lincosamide/macrolide/streptogramin,known_gene,BV-BRC/NDARO
FloR,phenicol,known_gene,BV-BRC/NDARO
GES,beta-lactam,known_gene,BV-BRC/NDARO
IMP,beta-lactam,known_gene,BV-BRC/NDARO
KPC,beta-lactam,known_gene,BV-BRC/NDARO
LAP,beta-lactam,known_gene,BV-BRC/NDARO
Lnu,lincosamide,known_gene,BV-BRC/NDARO
Lnu/Lnu,lincosamide,known_gene,BV-BRC/NDARO
Mef,macrolide,known_gene,BV-BRC/NDARO
Mph,macrolide,known_gene,BV-BRC/NDARO
Mph/Mph,macrolide,known_gene,BV-BRC/NDARO
Msr,macrolide/streptogramin,known_gene,BV-BRC/NDARO
NDM,beta-lactam,known_gene,BV-BRC/NDARO
OXA-1,beta-lactam,known_gene,BV-BRC/NDARO
OXA-10,beta-lactam,known_gene,BV-BRC/NDARO
OXA-2,beta-lactam,known_gene,BV-BRC/NDARO
OXA-48,beta-lactam,known_gene,BV-BRC/NDARO
QacE,quaternary ammonium,known_gene,BV-BRC/NDARO
Quinolone,quinolone,known_gene,BV-BRC/NDARO
SHV,beta-lactam,known_gene,BV-BRC/NDARO
Sulfonamide,sulfonamide,known_gene,BV-BRC/NDARO
TEM,beta-lactam,known_gene,BV-BRC/NDARO
Tet,tetracycline,known_gene,BV-BRC/NDARO
VEB,beta-lactam,known_gene,BV-BRC/NDARO
VIM,beta-lactam,known_gene,BV-BRC/NDARO
aac(3),aminoglycoside,known_gene,BV-BRC/NDARO
aac3-VI,aminoglycoside,known_gene,BV-BRC/NDARO
aacA-aphD,aminoglycoside,known_gene,BV-BRC/NDARO
aacA4,aminoglycoside/quinolone,known_gene,BV-BRC/NDARO
aadA,aminoglycoside,known_gene,BV-BRC/NDARO
aadA1,aminoglycoside,known_gene,BV-BRC/NDARO
acrB_2,phenicol/quinolone,known_gene,BV-BRC/NDARO
ampC,beta-lactam,known_gene,BV-BRC/NDARO
ampC_1,,known_gene,BV-BRC/NDARO
ampC_2,beta-lactam,known_gene,BV-BRC/NDARO
ant1,aminoglycoside,known_gene,BV-BRC/NDARO
ant1_1,aminoglycoside,known_gene,BV-BRC/NDARO
ant1_2,aminoglycoside,known_gene,BV-BRC/NDARO
ant1_3,aminoglycoside,known_gene,BV-BRC/NDARO
aph(3'')-Ib,aminoglycoside,known_gene,BV-BRC/NDARO
aph(3')-I,,known_gene,BV-BRC/NDARO
aph(6)-I,aminoglycoside,known_gene,BV-BRC/NDARO
bcr_2,phenicol,known_gene,BV-BRC/NDARO
bcr_3,phenicol,known_gene,BV-BRC/NDARO
bla,beta-lactam,known_gene,BV-BRC/NDARO
blaCTX-M,,known_gene,BV-BRC/NDARO
blaEC,,known_gene,BV-BRC/NDARO
blaTEM,,known_gene,BV-BRC/NDARO
bla_1,beta-lactam,known_gene,BV-BRC/NDARO
bla_2,beta-lactam,known_gene,BV-BRC/NDARO
bla_3,beta-lactam,known_gene,BV-BRC/NDARO
bla_4,beta-lactam,known_gene,BV-BRC/NDARO
cat,phenicol,known_gene,BV-BRC/NDARO
cat_1,phenicol,known_gene,BV-BRC/NDARO
cat_2,phenicol,known_gene,BV-BRC/NDARO
cmlA,phenicol,known_gene,BV-BRC/NDARO
colistin,colistin,known_gene,BV-BRC/NDARO
cyaA,fosmidomycin,known_gene,BV-BRC/NDARO
dfrA,trimethoprim,known_gene,BV-BRC/NDARO
dfrA12,trimethoprim,known_gene,BV-BRC/NDARO
dfrD,trimethoprim,known_gene,BV-BRC/NDARO
dhfrI,trimethoprim,known_gene,BV-BRC/NDARO
dhfrI_1,trimethoprim,known_gene,BV-BRC/NDARO
dhfrI_2,trimethoprim,known_gene,BV-BRC/NDARO
dhfrV,trimethoprim,known_gene,BV-BRC/NDARO
ebr,quaternary ammonium,known_gene,BV-BRC/NDARO
emrE_2,quaternary ammonium,known_gene,BV-BRC/NDARO
emrE_3,quaternary ammonium,known_gene,BV-BRC/NDARO
eptA_2,colistin,known_gene,BV-BRC/NDARO
erm,lincosamide/macrolide/streptogramin,known_gene,BV-BRC/NDARO
estX,,known_gene,BV-BRC/NDARO
floR,phenicol,known_gene,BV-BRC/NDARO
folA_2,trimethoprim,known_gene,BV-BRC/NDARO
folP2,sulfonamide,known_gene,BV-BRC/NDARO
folP_2,sulfonamide,known_gene,BV-BRC/NDARO
folP_3,sulfonamide,known_gene,BV-BRC/NDARO
folP_4,sulfonamide,known_gene,BV-BRC/NDARO
folP_5,sulfonamide,known_gene,BV-BRC/NDARO
fosA,fosfomycin,known_gene,BV-BRC/NDARO
glpT_2,fosfomycin,known_gene,BV-BRC/NDARO
gyrA_1,quinolone,known_gene,BV-BRC/NDARO
ksgA_2,lincosamide/macrolide/streptogramin,known_gene,BV-BRC/NDARO
marR,multidrug,known_gene,BV-BRC/NDARO
marR_2,multidrug,known_gene,BV-BRC/NDARO
mdtE_2,phenicol/quinolone,known_gene,BV-BRC/NDARO
mph(A),macrolide,known_gene,BV-BRC/NDARO
mphA,macrolide,known_gene,BV-BRC/NDARO
neo,aminoglycoside,known_gene,BV-BRC/NDARO
neo_1,aminoglycoside,known_gene,BV-BRC/NDARO
neo_2,aminoglycoside,known_gene,BV-BRC/NDARO
pipB2,quinolone,known_gene,BV-BRC/NDARO
pipB2_2,quinolone,known_gene,BV-BRC/NDARO
pipB2_3,quinolone,known_gene,BV-BRC/NDARO
ptsI,fosfomycin,known_gene,BV-BRC/NDARO
ptsI_1,fosfomycin,known_gene,BV-BRC/NDARO
qac,quaternary ammonium,known_gene,BV-BRC/NDARO
qacA,quinolone,known_gene,BV-BRC/NDARO
qacE,,known_gene,BV-BRC/NDARO
sat2,streptothricin,known_gene,BV-BRC/NDARO
strA,,known_gene,BV-BRC/NDARO
strA_1,aminoglycoside,known_gene,BV-BRC/NDARO
strA_2,aminoglycoside,known_gene,BV-BRC/NDARO
sul1,sulfonamide,known_gene,BV-BRC/NDARO
sul2,sulfonamide,known_gene,BV-BRC/NDARO
sul3,sulfonamide,known_gene,BV-BRC/NDARO
sulI,sulfonamide,known_gene,BV-BRC/NDARO
tet(A),tetracycline,known_gene,BV-BRC/NDARO
tet(B),tetracycline,known_gene,BV-BRC/NDARO
tet(M),tetracycline,known_gene,BV-BRC/NDARO
tetA,tetracycline,known_gene,BV-BRC/NDARO
tetA_1,tetracycline,known_gene,BV-BRC/NDARO
tetA_2,tetracycline,known_gene,BV-BRC/NDARO
yajR_2,tetracycline,known_gene,BV-BRC/NDARO
yheS_3,macrolide/streptogramin,known_gene,BV-BRC/NDARO
yokD,aminoglycoside,known_gene,BV-BRC/NDARO
