genome_id,cluster_id
562.100145,1
562.100221,1
562.100414,1
562.100424,2
562.100433,2
562.100508,2
562.100602,1
562.100772,2
562.100804,1
562.100809,2
562.135580,2
562.135591,2
562.144970,2
562.144982,2
562.145029,1
562.145032,1
562.145037,2
562.145051,2
562.145067,2
562.145427,1
562.20499,2
562.22436,2
562.22499,1
562.22506,1
562.22526,1
562.22532,1
562.22533,1
562.22551,1
562.22554,2
562.22557,1
562.22564,1
562.22578,2
562.22582,1
562.22614,2
562.22643,2
562.22654,1
562.22668,1
562.22676,2
562.22679,2
562.22688,2
562.22702,1
562.22710,1
562.22759,1
562.22768,1
562.22807,2
562.22827,1
562.22876,1
562.22901,1
562.23096,1
562.23320,1
562.23597,1
562.23673,1
562.42671,1
562.42703,2
562.42722,2
562.42730,1
562.42829,1
562.42870,2
562.56792,2
562.56876,2
562.57080,1
562.57114,2
562.57142,1
562.57219,2
562.57260,1
562.57331,1
562.57416,2
562.57445,2
562.57467,2
562.57469,2
562.58727,2
562.58733,2
562.58771,2
562.64826,2
562.64873,1
562.65075,1
562.65136,2
562.65200,1
562.65296,1
562.65556,1
562.73352,2
562.7571,2
562.7576,2
562.7624,2
562.7724,2
562.7738,2
562.7739,2
562.7756,3
562.96564,2
562.96742,2
562.96801,1
562.97251,2
562.97264,2
562.97340,2
562.97471,2
562.97782,2
562.97789,2
562.97821,2
562.97875,1
562.97929,1
562.97930,1
562.97935,2
562.97939,2
562.98346,1
562.98448,1
562.98466,1
562.98504,1
562.98676,1
562.98679,2
562.98715,1
562.98759,1
562.98786,1
562.99044,1
562.99055,2
562.99126,2
562.99566,1
562.99660,1
562.99773,1
562.99846,2
